name1,name2,race,tp,fp,tn,fn,total
An,Ngoc,Asian,0,0,0,10,10
An,Ngoc,Asian,0,0,0,10,10
An,Ngoc,Asian,0,0,0,10,10
An,Ngoc,Asian,0,0,0,10,10
An,Quoc,Asian,0,0,0,10,10
An,Quoc,Asian,0,0,0,10,10
An,Quoc,Asian,0,0,0,10,10
An,Quoc,Asian,0,0,0,10,10
An,Quoc,Asian,0,0,0,10,10
An,Quoc,Asian,0,0,0,10,10
An,Quoc,Asian,0,0,0,10,10
An,Quoc,Asian,0,0,0,10,10
An,Quoc,Asian,0,0,0,10,10
An,Quoc,Asian,0,0,0,10,10
An,Quyen,Asian,1,0,0,9,10
An,Quyen,Asian,1,0,0,9,10
An,Quyen,Asian,1,0,0,9,10
An,Quyen,Asian,1,0,0,9,10
An,Quyen,Asian,1,0,0,9,10
An,Quyen,Asian,1,0,0,9,10
An,Quyen,Asian,1,0,0,9,10
An,Quyen,Asian,1,0,0,9,10
An,Quyen,Asian,1,0,0,9,10
An,Quyen,Asian,1,0,0,9,10
An,Sang,Asian,0,0,0,10,10
An,Sang,Asian,0,0,0,10,10
An,Sang,Asian,0,0,0,10,10
An,Sang,Asian,0,0,0,10,10
An,Sang,Asian,0,0,0,10,10
An,Sang,Asian,0,0,0,10,10
An,Sang,Asian,0,0,0,10,10
An,Sang,Asian,0,0,0,10,10
An,Sang,Asian,0,0,0,10,10
An,Sang,Asian,0,0,0,10,10
An,Seung,Asian,0,0,0,10,10
An,Seung,Asian,0,0,0,10,10
An,Seung,Asian,0,0,0,10,10
An,Seung,Asian,0,0,0,10,10
An,Seung,Asian,0,0,0,10,10
An,Seung,Asian,0,0,0,10,10
An,Seung,Asian,0,0,0,10,10
An,Seung,Asian,0,0,0,10,10
An,Seung,Asian,0,0,0,10,10
An,Seung,Asian,0,0,0,10,10
An,Sung,Asian,0,0,0,10,10
An,Sung,Asian,0,0,0,10,10
An,Sung,Asian,0,0,0,10,10
An,Sung,Asian,0,0,0,10,10
An,Sung,Asian,0,0,0,10,10
An,Sung,Asian,0,0,0,10,10
An,Sung,Asian,0,0,0,10,10
An,Sung,Asian,0,0,0,10,10
An,Sung,Asian,0,0,0,10,10
An,Sung,Asian,0,0,0,10,10
An,Su,Asian,0,0,0,10,10
An,Su,Asian,0,0,0,10,10
An,Su,Asian,0,0,0,10,10
An,Su,Asian,0,0,0,10,10
An,Su,Asian,0,0,0,10,10
An,Su,Asian,0,0,0,10,10
An,Su,Asian,0,0,0,10,10
An,Su,Asian,0,0,0,10,10
An,Su,Asian,0,0,0,10,10
An,Su,Asian,0,0,0,10,10
An,Thien,Asian,0,0,0,10,10
An,Thien,Asian,0,0,0,10,10
An,Thien,Asian,0,0,0,10,10
An,Thien,Asian,0,0,0,10,10
An,Thien,Asian,0,0,0,10,10
An,Thien,Asian,0,0,0,10,10
An,Thien,Asian,0,0,0,10,10
An,Thien,Asian,0,0,0,10,10
An,Thien,Asian,0,0,0,10,10
An,Thien,Asian,0,0,0,10,10
An,Thuan,Asian,0,0,0,10,10
An,Thuan,Asian,0,0,0,10,10
An,Thuan,Asian,0,0,0,10,10
An,Thuan,Asian,0,0,0,10,10
An,Thuan,Asian,0,0,0,10,10
An,Thuan,Asian,0,0,0,10,10
An,Thuan,Asian,0,0,0,10,10
An,Thuan,Asian,0,0,0,10,10
An,Thuan,Asian,0,0,0,10,10
An,Thuan,Asian,0,0,0,10,10
An,Trinh,Asian,0,0,0,10,10
An,Trinh,Asian,0,0,0,10,10
An,Trinh,Asian,0,0,0,10,10
An,Trinh,Asian,0,0,0,10,10
An,Trinh,Asian,0,0,0,10,10
An,Trinh,Asian,0,0,0,10,10
An,Trinh,Asian,0,0,0,10,10
An,Trinh,Asian,0,0,0,10,10
An,Trinh,Asian,0,0,0,10,10
An,Trinh,Asian,0,0,0,10,10
An,Vy,Asian,0,0,0,10,10
An,Vy,Asian,0,0,0,10,10
An,Vy,Asian,0,0,0,10,10
An,Vy,Asian,0,0,0,10,10
An,Vy,Asian,0,0,0,10,10
An,Vy,Asian,0,0,0,10,10
An,Vy,Asian,0,0,0,10,10
An,Vy,Asian,0,0,0,10,10
An,Vy,Asian,0,0,0,10,10
An,Vy,Asian,0,0,0,10,10
An,Wei,Asian,0,0,0,10,10
An,Wei,Asian,0,0,0,10,10
An,Wei,Asian,0,0,0,10,10
An,Wei,Asian,0,0,0,10,10
An,Wei,Asian,0,0,0,10,10
An,Wei,Asian,0,0,0,10,10
An,Wei,Asian,0,0,0,10,10
An,Wei,Asian,0,0,0,10,10
An,Wei,Asian,0,0,0,10,10
An,Wei,Asian,0,0,0,10,10
An,Wen,Asian,0,0,0,10,10
An,Wen,Asian,0,0,0,10,10
An,Wen,Asian,0,0,0,10,10
An,Wen,Asian,0,0,0,10,10
An,Wen,Asian,0,0,0,10,10
An,Wen,Asian,0,0,0,10,10
An,Wen,Asian,0,0,0,10,10
An,Wen,Asian,0,0,0,10,10
An,Wen,Asian,0,0,0,10,10
An,Wen,Asian,0,0,0,10,10
An,Xiao,Asian,0,0,0,10,10
An,Xiao,Asian,0,0,0,10,10
An,Xiao,Asian,0,0,0,10,10
An,Xiao,Asian,0,0,0,10,10
An,Xiao,Asian,0,0,0,10,10
An,Xiao,Asian,0,0,0,10,10
An,Xiao,Asian,0,0,0,10,10
An,Xiao,Asian,0,0,0,10,10
An,Xiao,Asian,0,0,0,10,10
An,Xiao,Asian,0,0,0,10,10
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,An,Asian,9,4,20,67,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
Dat,Diem,Asian,12,3,21,64,100
